[2026-01-08 18:29:05] Client: [::1]:48818 | Host: play.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:05] Client: [::1]:47268 | Host: badsite.com | Method: CONNECT | Status: ERROR | Details: Failed to connect: dial tcp: lookup badsite.com: i/o timeout
[2026-01-08 18:29:05] Client: [::1]:47240 | Host: badsite.com | Method: GET | Status: OK | Details: /
[2026-01-08 18:29:06] Client: [::1]:48820 | Host: router.parklogic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:06] Client: [::1]:48836 | Host: badsite.org | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:06] Client: [::1]:48830 | Host: badsite.org | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:06] Client: [::1]:48832 | Host: badsite.org | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:07] Client: [::1]:45180 | Host: client.wns.windows.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:07] Client: [::1]:47256 | Host: badsite.com | Method: GET | Status: OK | Details: /favicon.ico
[2026-01-08 18:29:09] Client: [::1]:45190 | Host: badsite.com | Method: GET | Status: OK | Details: /favicon.ico
[2026-01-08 18:29:09] Client: [::1]:45204 | Host: badsite.org | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:09] Client: [::1]:45192 | Host: badsite.org | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:09] Client: [::1]:45194 | Host: badsite.org | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:10] Client: [::1]:45210 | Host: www.youtube.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:25] Client: [::1]:45212 | Host: edgedl.me.gvt1.com | Method: GET | Status: ERROR | Details: Failed to connect: dial tcp 34.104.35.123:80: i/o timeout
[2026-01-08 18:29:26] Client: [::1]:50564 | Host: mail.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:34] Client: [::1]:50578 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:34] Client: [::1]:50592 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:34] Client: [::1]:50606 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:35] Client: [::1]:50622 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:35] Client: [::1]:50634 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:35] Client: [::1]:38096 | Host: edgedl.me.gvt1.com | Method: CONNECT | Status: ERROR | Details: Failed to connect: dial tcp 34.104.35.123:443: i/o timeout
[2026-01-08 18:29:35] Client: [::1]:50636 | Host: dl.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:35] Client: [::1]:50638 | Host: update.googleapis.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:40] Client: [::1]:59912 | Host:  | Method:  | Status: ERROR | Details: Failed to read request
[2026-01-08 18:29:40] Client: [::1]:59916 | Host:  | Method:  | Status: ERROR | Details: Failed to read request
[2026-01-08 18:29:40] Client: [::1]:41428 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:40] Client: [::1]:41430 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:29:53] Client: [::1]:49948 | Host: flipshope.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:53] Client: [::1]:49950 | Host: data.flipshope.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:53] Client: [::1]:49954 | Host: peoplestack-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:53] Client: [::1]:49966 | Host: waa-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:29:54] Client: [::1]:49972 | Host: peoplestack-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:30:10] Client: [::1]:59404 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:30:10] Client: [::1]:59408 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:30:17] Client: [::1]:60374 | Host: instagram.fdel29-1.fna.fbcdn.net | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:30:17] Client: [::1]:60360 | Host: scontent.cdninstagram.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:30:25] Client: [::1]:60388 | Host: client.wns.windows.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:30:41] Client: [::1]:47668 | Host: www.instagram.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:30:55] Client: [::1]:37558 | Host: mail.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
